# go_source_id	status	crystal_refs	notes
uv.go::func::EncodeCursorColor	mapped	src/ultraviolet/uv_api.cr,src/ultraviolet/cursor.cr,src/ultraviolet/progress_bar.cr,src/ultraviolet/buffer.cr	tracked for drift detection
uv.go::func::EncodeCursorStyle	mapped	src/ultraviolet/uv_api.cr,src/ultraviolet/cursor.cr,src/ultraviolet/progress_bar.cr,src/ultraviolet/buffer.cr	tracked for drift detection
uv.go::func::EncodeForegroundColor	mapped	src/ultraviolet/uv_api.cr,src/ultraviolet/cursor.cr,src/ultraviolet/progress_bar.cr,src/ultraviolet/buffer.cr	tracked for drift detection
uv.go::func::EncodeKeyboardEnhancements	mapped	src/ultraviolet/uv_api.cr,src/ultraviolet/cursor.cr,src/ultraviolet/progress_bar.cr,src/ultraviolet/buffer.cr	tracked for drift detection
uv.go::func::EncodeMouseMode	mapped	src/ultraviolet/uv_api.cr,src/ultraviolet/cursor.cr,src/ultraviolet/progress_bar.cr,src/ultraviolet/buffer.cr	tracked for drift detection
uv.go::func::EncodeProgressBar	mapped	src/ultraviolet/uv_api.cr,src/ultraviolet/cursor.cr,src/ultraviolet/progress_bar.cr,src/ultraviolet/buffer.cr	tracked for drift detection
uv.go::func::EncodeWindowTitle	mapped	src/ultraviolet/uv_api.cr,src/ultraviolet/cursor.cr,src/ultraviolet/progress_bar.cr,src/ultraviolet/buffer.cr	tracked for drift detection
uv.go::func::NewCursor	mapped	src/ultraviolet/uv_api.cr,src/ultraviolet/cursor.cr,src/ultraviolet/progress_bar.cr,src/ultraviolet/buffer.cr	tracked for drift detection
uv.go::func::NewKeyboardEnhancements	mapped	src/ultraviolet/uv_api.cr,src/ultraviolet/cursor.cr,src/ultraviolet/progress_bar.cr,src/ultraviolet/buffer.cr	tracked for drift detection
uv.go::func::NewProgressBar	mapped	src/ultraviolet/uv_api.cr,src/ultraviolet/cursor.cr,src/ultraviolet/progress_bar.cr,src/ultraviolet/buffer.cr	tracked for drift detection
uv.go::method::Draw	mapped	src/ultraviolet/uv_api.cr,src/ultraviolet/cursor.cr,src/ultraviolet/progress_bar.cr,src/ultraviolet/buffer.cr	tracked for drift detection
uv.go::method::Flags	mapped	src/ultraviolet/uv_api.cr,src/ultraviolet/cursor.cr,src/ultraviolet/progress_bar.cr,src/ultraviolet/buffer.cr	tracked for drift detection
uv.go::method::String	mapped	src/ultraviolet/uv_api.cr,src/ultraviolet/cursor.cr,src/ultraviolet/progress_bar.cr,src/ultraviolet/buffer.cr	tracked for drift detection
uv.go::type::Cursor	mapped	src/ultraviolet/uv_api.cr,src/ultraviolet/cursor.cr,src/ultraviolet/progress_bar.cr,src/ultraviolet/buffer.cr	tracked for drift detection
uv.go::type::Drawable	mapped	src/ultraviolet/uv_api.cr,src/ultraviolet/cursor.cr,src/ultraviolet/progress_bar.cr,src/ultraviolet/buffer.cr	tracked for drift detection
uv.go::type::DrawableFunc	mapped	src/ultraviolet/uv_api.cr,src/ultraviolet/cursor.cr,src/ultraviolet/progress_bar.cr,src/ultraviolet/buffer.cr	tracked for drift detection
uv.go::type::KeyboardEnhancements	mapped	src/ultraviolet/uv_api.cr,src/ultraviolet/cursor.cr,src/ultraviolet/progress_bar.cr,src/ultraviolet/buffer.cr	tracked for drift detection
uv.go::type::ProgressBar	mapped	src/ultraviolet/uv_api.cr,src/ultraviolet/cursor.cr,src/ultraviolet/progress_bar.cr,src/ultraviolet/buffer.cr	tracked for drift detection
uv.go::type::ProgressBarState	mapped	src/ultraviolet/uv_api.cr,src/ultraviolet/cursor.cr,src/ultraviolet/progress_bar.cr,src/ultraviolet/buffer.cr	tracked for drift detection
uv.go::type::Screen	mapped	src/ultraviolet/uv_api.cr,src/ultraviolet/cursor.cr,src/ultraviolet/progress_bar.cr,src/ultraviolet/buffer.cr	tracked for drift detection
uv.go::type::WidthMethod	mapped	src/ultraviolet/uv_api.cr,src/ultraviolet/cursor.cr,src/ultraviolet/progress_bar.cr,src/ultraviolet/buffer.cr	tracked for drift detection
