# go_id	kind	status	crystal_refs	notes
console.go::func::DefaultConsole	func	missing		heuristic-filter
console.go::type::File	type	missing		heuristic-filter
cursor_test.go::test::TestCursorShape_Encode	test	missing		heuristic-filter
cursor.go::const::CursorBar	const	missing		heuristic-filter
cursor.go::const::CursorBlock	const	missing		heuristic-filter
cursor.go::const::CursorUnderline	const	missing		heuristic-filter
decoder_test.go::test::TestDeviceAttributesParsing	test	missing		heuristic-filter
decoder_test.go::test::TestHelperFunctions	test	missing		heuristic-filter
decoder_test.go::test::TestLegacyKeyEncodingMethods	test	missing		heuristic-filter
decoder_test.go::test::TestParseControl	test	missing		heuristic-filter
decoder_test.go::test::TestParseTermcap	test	missing		heuristic-filter
decoder_test.go::test::TestParseUtf8	test	missing		heuristic-filter
decoder_test.go::test::TestWin32Functions	test	missing		heuristic-filter
decoder.go::method::LegacyKeyEncoding.FKeys	method	missing		heuristic-filter
event_test.go::test::TestClipboardEventString	test	missing		heuristic-filter
event_test.go::test::TestColorEventMethods	test	missing		heuristic-filter
event_test.go::test::TestEventTypes	test	missing		heuristic-filter
event_test.go::test::TestKeyPressEventMethods	test	missing		heuristic-filter
event_test.go::test::TestKeyReleaseEventMethods	test	missing		heuristic-filter
event_test.go::test::TestKittyEnhancementsEventContains	test	missing		heuristic-filter
event_test.go::test::TestMouseEventMethods	test	missing		heuristic-filter
event_test.go::test::TestMultiEventString	test	missing		heuristic-filter
event_test.go::test::TestSizeBounds	test	missing		heuristic-filter
event_test.go::test::TestUnknownEventString	test	missing		heuristic-filter
event.go::method::BackgroundColorEvent.IsDark	method	missing		heuristic-filter
event.go::method::CursorColorEvent.IsDark	method	missing		heuristic-filter
event.go::method::ForegroundColorEvent.IsDark	method	missing		heuristic-filter
event.go::method::KeyboardEnhancementsEvent.SupportsKeyDisambiguation	method	missing		heuristic-filter
event.go::method::KeyboardEnhancementsEvent.SupportsKeyReleases	method	missing		heuristic-filter
event.go::method::KeyboardEnhancementsEvent.SupportsUniformKeyLayout	method	missing		heuristic-filter
event.go::type::ClipboardSelection	type	missing		heuristic-filter
event.go::type::Event	type	missing		heuristic-filter
event.go::type::KeyEvent	type	missing		heuristic-filter
event.go::type::KeyPressEvent	type	missing		heuristic-filter
event.go::type::KeyReleaseEvent	type	missing		heuristic-filter
event.go::type::MouseEvent	type	missing		heuristic-filter
event.go::type::MultiEvent	type	missing		heuristic-filter
event.go::type::PrimaryDeviceAttributesEvent	type	missing		heuristic-filter
event.go::type::SecondaryDeviceAttributesEvent	type	missing		heuristic-filter
event.go::type::TertiaryDeviceAttributesEvent	type	missing		heuristic-filter
key_test.go::test::TestBlur	test	missing		heuristic-filter
key_test.go::test::TestEmptyBufferDecode	test	missing		heuristic-filter
key_test.go::test::TestFocus	test	missing		heuristic-filter
key_test.go::test::TestKeyMatchString	test	missing		heuristic-filter
key_test.go::test::TestKeyString	test	missing		heuristic-filter
key_test.go::test::TestKeyStringMore	test	missing		heuristic-filter
key_test.go::test::TestKeystroke	test	missing		heuristic-filter
key_test.go::test::TestKeystrokeCoverage	test	missing		heuristic-filter
key_test.go::test::TestMatchStrings	test	missing		heuristic-filter
key_test.go::test::TestMouseEvent_String	test	missing		heuristic-filter
key_test.go::test::TestParseSequence	test	missing		heuristic-filter
key_test.go::test::TestParseSGRMouseEvent	test	missing		heuristic-filter
key_test.go::test::TestParseX10MouseDownEvent	test	missing		heuristic-filter
